"symbol","company_name","date","current_price"
"SOLARA","Solara Active Pharma Sciences Limited","2018-06-29","227.25"
"SHIVAMAUTO","Shivam Autotech Limited","2018-06-29","58.8"
"UNIPLY","Uniply Industries Limited","2018-06-29","81"
"PEARLPOLY","Pearl Polymers Limited","2018-06-29","15.25"
"KOLTEPATIL","Kolte - Patil Developers Limited","2018-06-29","275.85"
"PATINTLOG","Patel Integrated Logistics Limited","2018-06-29","53.15"
"CORDSCABLE","Cords Cable Industries Limited","2018-06-29","58.2"
"RELDIVOPP","Reliance ETF Dividend Opportunities","2018-06-29","28.7"
"ZENITHEXPO","Zenith Exports Limited","2018-06-29","103.3"
"FEDDERELEC","Fedders Electric and Engineering Limited","2018-06-29","29.7"
"MAHINDCIE","Mahindra CIE Automotive Limited","2018-06-29","259"
"APLAPOLLO","APL Apollo Tubes Limited","2018-06-29","1660"
"GANECOS","Ganesha Ecosphere Limited","2018-06-29","364.65"
"SUNDARMHLD","Sundaram Finance Holdings Limited","2018-06-29","120.8"
"MRO-TEK","MRO-TEK Realty Limited","2018-06-29","44.25"
"RELIGARE","Religare Enterprises Limited","2018-06-29","51.5"
"FSC","Future Supply Chain Solutions Limited","2018-06-29","669.9"
"KWALITY","kwality limited","2018-06-29","22.8"
"BIGBLOC","Bigbloc Construction Limited","2018-06-29","92.4"
"AMJLAND","Amj Land Holdings Limited","2018-06-29","29.5"
"FINPIPE","Finolex Industries Limited","2018-06-29","577"
"MANGLMCEM","Mangalam Cement Limited","2018-06-29","234.1"
"M50","Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF","2018-06-29","100.05"
"TITAN","Titan Company Limited","2018-06-28","834.55"
"PGEL","PG Electroplast Limited","2018-06-28","192.5"
"IDFCBANK","IDFC Bank Limited","2018-06-28","39.25"
"LOTUSEYE","Lotus Eye Hospital and Institute Limited","2018-06-28","22.5"
"TECHNOFAB","Technofab Engineering Limited","2018-06-28","165"
"V2RETAIL","V2 Retail Limited","2018-06-28","405.75"
"IEX","Indian Energy Exchange Limited","2018-06-28","1582.5"
"IFGLEXPOR","IFGL Refractories Limited","2018-06-28","196"
"GPPL","Gujarat Pipavav Port Limited","2018-06-28","104.6"
"IDFC","IDFC Limited","2018-06-28","46.3"
"KHANDSE","Khandwala Securities Limited","2018-06-28","14.7"
"ZODIACLOTH","Zodiac Clothing Company Limited","2018-06-28","149.25"
"CONTROLPR","Control Print Limited","2018-06-28","385"
"CASTROLIND","Castrol India Limited","2018-06-28","169"
"MERCATOR","Mercator Limited","2018-06-28","21.25"
"UTTAMSUGAR","Uttam Sugar Mills Limited","2018-06-28","72.9"
"MRPL","Mangalore Refinery and Petrochemicals Limited","2018-06-28","79.75"
"GPTINFRA","GPT Infraprojects Limited","2018-06-28","140.9"
"SASTASUNDR","Sastasundar Ventures Limited","2018-06-28","78.3"
"MAITHANALL","Maithan Alloys Limited","2018-06-28","573"
"TV18BRDCST","TV18 Broadcast Limited","2018-06-28","52.1"
"CONCOR","Container Corporation of India Limited","2018-06-28","618"
"DBSTOCKBRO","DB (International) Stock Brokers Limited","2018-06-28","8.5"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","2018-06-28","157.1"
"AHLUCONT","Ahluwalia Contracts (India) Limited","2018-06-28","338"
"TASTYBITE","Tasty Bite Eatables Limited","2018-06-27","7399.95"
"FLEXITUFF","Flexituff International Limited","2018-06-27","34.4"
"ZEEMEDIA","Zee Media Corporation Limited","2018-06-27","27"
"AGARIND","Agarwal Industrial Corporation Limited","2018-06-27","310"
"NDTV","New Delhi Television Limited","2018-06-27","38.8"
"RELCNX100","Reliance ETF Nifty 100","2018-06-27","112.58"
"RAMANEWS","Shree Rama Newsprint Limited","2018-06-27","20.05"
"TNTELE","Tamilnadu Telecommunication Limited","2018-06-27","1.35"
"EIDPARRY","EID Parry India Limited","2018-06-27","218.6"
"GTNIND","GTN Industries Limited","2018-06-27","13.05"
"LOTUSEYE","Lotus Eye Hospital and Institute Limited","2018-06-27","25.4"
"PRIMESECU","Prime Securities Limited","2018-06-27","40.5"
"KIRLOSIND","Kirloskar Industries Limited","2018-06-27","1121"
"BALPHARMA","Bal Pharma Limited","2018-06-27","79"
"AUTOLITIND","Autolite (India) Limited","2018-06-27","56.5"
"JUNIORBEES","Reliance ETF Junior BeES","2018-06-27","287.04"
"KOTAKGOLD","Kotak Mutual Fund - Gold Exchange Traded Fund","2018-06-27","268.5"
"BAJAJCORP","Bajaj Corp Limited","2018-06-27","398.15"
"NIFTYBEES","Reliance ETF Nifty BeES","2018-06-27","1108.62"
"SALONA","Salona Cotspin Limited","2018-06-27","77"
"BANKBEES","Reliance ETF Bank BeES","2018-06-27","2693"
"RAJTV","Raj Television Network Limited","2018-06-27","44.95"
"SHYAMCENT","Shyam Century Ferrous Limited","2018-06-27","8.4"
"HONAUT","Honeywell Automation India Limited","2018-06-26","18280"
"DECCANCE","Deccan Cements Limited","2018-06-26","417.5"
"NCLIND","NCL Industries Limited","2018-06-26","167"
"IVZINNIFTY","Invesco India Nifty Exchange Traded Fund","2018-06-26","1113"
"ADROITINFO","Adroit Infotech Limited","2018-06-26","26.95"
"EBANK","Edelweiss ETF - Nifty Bank","2018-06-26","2521"
"JMCPROJECT","JMC Projects (India)  Limited","2018-06-26","543"
"GREENPLY","Greenply Industries Limited","2018-06-26","232.2"
"SETFNIF50","SBI-ETF Nifty 50","2018-06-26","108.98"
"ORBTEXP","Orbit Exports Limited","2018-06-26","134"
"SOMATEX","Soma Textiles & Industries Limited","2018-06-26","9.65"
"GALAXYSURF","Galaxy Surfactants Limited","2018-06-26","1245"
"FCONSUMER","Future Consumer Limited","2018-06-26","50.15"
"CGCL","Capri Global Capital Limited","2018-06-26","84.25"
"BLUESTARCO","Blue Star Limited","2018-06-26","638.1"
"VOLTAMP","Voltamp Transformers Limited","2018-06-26","959"
"KAVVERITEL","Kavveri Telecom Products Limited","2018-06-26","8.5"
"SICAL","Sical Logistics Limited","2018-06-26","185.6"
"VSTTILLERS","V.S.T Tillers Tractors Limited","2018-06-26","2290"
"VIPULLTD","Vipul Limited","2018-06-26","49.8"
"AVANTIFEED","Avanti Feeds Limited","2018-06-26","599"
"VSSL","Vardhman Special Steels Limited","2018-06-26","126.7"
"SFL","Sheela Foam Limited","2018-06-26","1500"
"NAUKRI","Info Edge (India) Limited","2018-06-26","1187.35"
"3MINDIA","3M India Limited","2018-06-26","19720.1"
"TIINDIA","Tube Investments of India Limited","2018-06-25","222"
"SHARIABEES","Reliance ETF Shariah BeES","2018-06-25","254"
"KRBL","KRBL Limited","2018-06-25","374.95"
"BASF","BASF India Limited","2018-06-25","1960"
"GALLISPAT","Gallantt Ispat Limited","2018-06-25","285"
"TRF","TRF Limited","2018-06-25","221.85"
"AMJLAND","Amj Land Holdings Limited","2018-06-25","27.5"
"MAHSCOOTER","Maharashtra Scooters Limited","2018-06-25","3190.5"
"HCG","Healthcare Global Enterprises Limited","2018-06-25","285.3"
"INFRABEES","Reliance ETF Infra BeES","2018-06-25","316.1"
"SAKUMA","Sakuma Exports Limited","2018-06-25","195"
"PNBHOUSING","PNB Housing Finance Limited","2018-06-25","1225"
"SYMPHONY","Symphony Limited","2018-06-25","1472"
"HITECHCORP","Hitech Corporation Limited","2018-06-25","144.55"
"RAMKY","Ramky Infrastructure Limited","2018-06-25","185.6"
"FILATEX","Filatex India Limited","2018-06-25","212.5"
"MAJESCO","Majesco Limited","2018-06-25","458.7"
"SHALBY","Shalby Limited","2018-06-25","174.3"
"AICHAMP","AI Champdany Industries Limited","2018-06-25","25.45"
"MUTHOOTCAP","Muthoot Capital Services Limited","2018-06-25","1089"
"IEX","Indian Energy Exchange Limited","2018-06-25","1623.85"
"BANSWRAS","Banswara Syntex Limited","2018-06-25","88"
"SALZERELEC","Salzer Electronics Limited","2018-06-25","188.5"
"HERITGFOOD","Heritage Foods Limited","2018-06-25","613.7"
"DPSCLTD","DPSC Limited","2018-06-22","26.5"
"BRNL","Bharat Road Network Limited","2018-06-22","170.5"
"MTEDUCARE","MT Educare Limited","2018-06-22","62"
"POLYMED","Poly Medicure Limited","2018-06-22","200.1"
"SOMANYCERA","Somany Ceramics Limited","2018-06-22","527"
"GET&D","GE T&D India Limited","2018-06-22","290"
"FMGOETZE","Federal-Mogul Goetze (India) Limited.","2018-06-22","431.05"
"ZEEMEDIA","Zee Media Corporation Limited","2018-06-22","29.75"
"CAPACITE","Capacit'e Infraprojects Limited","2018-06-22","281.9"
"BIRLACORPN","Birla Corporation Limited","2018-06-22","706"
"DICIND","DIC India Limited","2018-06-22","402"
"AHLWEST","Asian Hotels (West) Limited","2018-06-22","306"
"INDOTECH","Indo Tech Transformers Limited","2018-06-22","164.7"
"ASTRAL","Astral Poly Technik Limited","2018-06-22","1016"
"MTNL","Mahanagar Telephone Nigam Limited","2018-06-22","17.75"
"DUCON","Ducon Infratechnologies Limited","2018-06-22","21.15"
"LICNETFGSC","LIC MF - LIC MF G-sec LT ETF - GO","2018-06-22","15.71"
"GREENLAM","Greenlam Industries Limited","2018-06-22","1149"
"AGCNET","AGC Networks Limited","2018-06-22","108"
"GOLDSHARE","UTI Mutual Fund - UTI Gold Exchange Traded Fund","2018-06-22","2760"
"NDGL","Naga Dhunseri Group Limited","2018-06-22","1280"
"CELESTIAL","Celestial Biolabs Limited","2018-06-22","13.85"
"SUNTECK","Sunteck Realty Limited","2018-06-22","383.7"
"KOTAKPSUBK","Kotak Mahindra Mutual Fund","2018-06-22","294.75"
"PIONEEREMB","Pioneer Embroideries Limited","2018-06-21","29"
"TRIL","Transformers And Rectifiers (India) Limited","2018-06-21","23"
"MTEDUCARE","MT Educare Limited","2018-06-21","60.95"
"TECHNO","Techno Electric & Engineering Company Limited","2018-06-21","279.95"
"SUMEETINDS","Sumeet Industries Limited","2018-06-21","15"
"ICICIGOLD","ICICI Prudential Gold ETF","2018-06-21","276.95"
"CONTROLPR","Control Print Limited","2018-06-21","389.9"
"KSBPUMPS","KSB Pumps Limited","2018-06-21","822.4"
"RADIOCITY","Music Broadcast Limited","2018-06-21","313.2"
"ICICIB22","ICICI Prudential Mutual Fund - BHARAT 22 ETF","2018-06-21","34.25"
"SOMICONVEY","Somi Conveyor Beltings Limited","2018-06-21","55.15"
"SUNDARMFIN","Sundaram Finance Limited","2018-06-21","1755.55"
"INDSWFTLAB","Ind-Swift Laboratories Limited","2018-06-21","99.55"
"ZENTEC","Zen Technologies Limited","2018-06-21","109"
"POLYMED","Poly Medicure Limited","2018-06-21","183.05"
"CYBERMEDIA","Cyber Media (India) Limited","2018-06-21","8.15"
"VBL","Varun Beverages Limited","2018-06-21","749"
"MANAKSIA","Manaksia Limited","2018-06-21","56.75"
"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","2018-06-21","46"
"THYROCARE","Thyrocare Technologies Limited","2018-06-21","583"
"APARINDS","Apar Industries Limited","2018-06-21","723"
"MIRCELECTR","MIRC Electronics Limited","2018-06-21","29.5"
"TRENT","Trent Limited","2018-06-21","318.15"
"KALYANIFRG","Kalyani Forge Limited","2018-06-21","338"
"KKCL","Kewal Kiran Clothing Limited","2018-06-20","1430"
"MRO-TEK","MRO-TEK Realty Limited","2018-06-20","62.95"
"SHARDACROP","Sharda Cropchem Limited","2018-06-20","387.05"
"ATFL","Agro Tech Foods Limited","2018-06-20","736.2"
"SIMPLEX","Simplex Projects Limited","2018-06-20","23"
"WHEELS","Wheels India Limited","2018-06-20","2575"
"VTL","Vardhman Textiles Limited","2018-06-20","1200"
"ZENTEC","Zen Technologies Limited","2018-06-20","102.05"
"SHRIRAMCIT","Shriram City Union Finance Limited","2018-06-20","2165"
"WIPL","The Western India Plywoods Limited","2018-06-20","65.35"
"FINPIPE","Finolex Industries Limited","2018-06-20","580"
"SHANTIGEAR","Shanthi Gears Limited","2018-06-20","130.25"
"THYROCARE","Thyrocare Technologies Limited","2018-06-20","591.5"
"HGINFRA","H.G. Infra Engineering Limited","2018-06-20","284"
"KARDA","Karda Constructions Limited","2018-06-20","177"
"MAHABANK","Bank of Maharashtra","2018-06-20","13.5"
"LICNETFSEN","LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX","2018-06-20","359"
"OPTOCIRCUI","Opto Circuits (India) Limited","2018-06-20","14.3"
"NAGREEKEXP","Nagreeka Exports Limited","2018-06-20","28"
"UNICHEMLAB","Unichem Laboratories Limited","2018-06-20","249"
"ESSARSHPNG","Essar Shipping Limited","2018-06-20","17.9"
"NITESHEST","Nitesh Estates Limited","2018-06-20","7.6"
"ABCAPITAL","Aditya Birla Capital Limited","2018-06-20","141.6"
"WHEELS","Wheels India Limited","2018-06-19","2423.55"
"AHLUCONT","Ahluwalia Contracts (India) Limited","2018-06-19","340"
"IITL","Industrial Investment Trust Limited","2018-06-19","93.1"
"ICICINF100","ICICI Prudential Nifty 100 ETF","2018-06-19","115.83"
"BOROSIL","Borosil Glass Works Limited","2018-06-19","1008"
"RELAXO","Relaxo Footwears Limited","2018-06-19","722"
"VAIBHAVGBL","Vaibhav Global Limited","2018-06-19","700"
"LIBERTSHOE","Liberty Shoes Limited","2018-06-19","215.1"
"VLSFINANCE","VLS Finance Limited","2018-06-19","75.35"
"MAHLIFE","Mahindra Lifespace Developers Limited","2018-06-19","635.5"
"VADILALIND","Vadilal Industries Limited","2018-06-19","784"
"KHADIM","Khadim India Limited","2018-06-19","790"
"VMART","V-Mart Retail Limited","2018-06-19","2550"
"MRO-TEK","MRO-TEK Realty Limited","2018-06-19","59.75"
"ARIHANT","Arihant Foundations & Housing Limited","2018-06-19","36.15"
"SOLARINDS","Solar Industries India Limited","2018-06-19","1136"
"MOLDTKPAC","Mold-Tek Packaging Limited","2018-06-19","310"
"GLOBUSSPR","Globus Spirits Limited","2018-06-19","142.35"
"EQ30","Edelweiss Mutual Fund - Edelweiss ETF - Nifty Quality 30","2018-06-19","300"
"PSB","Punjab & Sind Bank","2018-06-19","32.3"
"RAINBOWPAP","Rainbow Papers Limited","2018-06-19","1.95"
"LAURUSLABS","Laurus Labs Limited","2018-06-19","491.35"
"BIGBLOC","Bigbloc Construction Limited","2018-06-19","135.65"
"CANDC","C & C Constructions Limited","2018-06-19","36.2"
"MIRZAINT","Mirza International Limited","2018-06-19","119.7"
"AHLWEST","Asian Hotels (West) Limited","2018-06-18","300.1"
"LIBERTSHOE","Liberty Shoes Limited","2018-06-18","202.8"
"SMSLIFE","SMS Lifesciences India Limited","2018-06-18","372.75"
"ICRA","ICRA Limited","2018-06-18","3297.7"
"SITINET","Siti Networks Limited","2018-06-18","14.65"
"OCCL","Oriental Carbon & Chemicals Limited","2018-06-18","1050"
"RUBYMILLS","The Ruby Mills Limited","2018-06-18","375.6"
"ICIL","Indo Count Industries Limited","2018-06-18","76.35"
"VIMTALABS","Vimta Labs Limited","2018-06-18","233"
"GHCL","GHCL Limited","2018-06-18","288.5"
"KANORICHEM","Kanoria Chemicals & Industries Limited","2018-06-18","71.75"
"PAEL","PAE Limited","2018-06-18","3.35"
"SHREYAS","Shreyas Shipping & Logistics Limited","2018-06-18","509"
"REVATHI","Revathi Equipment Limited","2018-06-18","485.95"
"MIRZAINT","Mirza International Limited","2018-06-18","120"
"KEYCORPSER","Keynote Corporate Services Limited","2018-06-18","65.85"
"IMPAL","India Motor Parts and Accessories Limited","2018-06-18","969.5"
"RELAXO","Relaxo Footwears Limited","2018-06-18","705"
"TECHNOFAB","Technofab Engineering Limited","2018-06-18","195.05"
"INDOSTAR","IndoStar Capital Finance Limited","2018-06-18","570.1"
"RELCNX100","Reliance ETF Nifty 100","2018-06-18","113.38"
"PREMIERPOL","Premier Polyfilm Limited","2018-06-18","36"
"DATAMATICS","Datamatics Global Services Limited","2018-06-18","110.35"
"KHADIM","Khadim India Limited","2018-06-18","807.9"
"NIFTYEES","Edelweiss ETF - Nifty 50","2018-06-18","12950"
"SETF10GILT","SBI Mutual Fund - SBI-ETF 10 YEAR GILT","2018-06-14","161"
"HINDNATGLS","Hindusthan National Glass & Industries Limited","2018-06-14","93.6"
"JUBLINDS","Jubilant Industries Limited","2018-06-14","200"
"GITANJALI","Gitanjali Gems Limited","2018-06-14","5.15"
"FINCABLES","Finolex Cables Limited","2018-06-14","665"
"ZENITHEXPO","Zenith Exports Limited","2018-06-14","66.7"
"TRIGYN","Trigyn Technologies Limited","2018-06-14","141"
"GPTINFRA","GPT Infraprojects Limited","2018-06-14","159.8"
"DECCANCE","Deccan Cements Limited","2018-06-14","429.85"
"TEXINFRA","Texmaco Infrastructure & Holdings Limited","2018-06-14","63.8"
"DSSL","Dynacons Systems & Solutions Limited","2018-06-14","40.1"
"ICICINV20","ICICI Prudential NV20 ETF","2018-06-14","49.8"
"POKARNA","Pokarna Limited","2018-06-14","175.3"
"HINDOILEXP","Hindustan Oil Exploration Company Limited","2018-06-14","147.1"
"HAL","Hindustan Aeronautics Limited","2018-06-14","970"
"GOLDINFRA","Goldstone Infratech Limited","2018-06-14","176.1"
"MAHLOG","Mahindra Logistics Limited","2018-06-14","609.1"
"POWERMECH","Power Mech Projects Limited","2018-06-14","975.1"
"ADLABS","Adlabs Entertainment Limited","2018-06-14","44.4"
"RELDIVOPP","Reliance ETF Dividend Opportunities","2018-06-14","29.64"
"SCAPDVR","Stampede Capital Limited","2018-06-14","2.75"
"ITDC","India Tourism Development Corporation Limited","2018-06-14","465.05"
"EXCEL","Excel Realty N Infra Limited","2018-06-14","8.95"
"ADROITINFO","Adroit Infotech Limited","2018-06-14","29.5"
"MMFL","MM Forgings Limited","2018-06-14","1464"
"KSK","KSK Energy Ventures Limited","2018-06-12","2.5"
"ARROWGREEN","Arrow Greentech Limited","2018-06-12","147.5"
"ERIS","Eris Lifesciences Limited","2018-06-12","758.4"
"SANGHVIFOR","Sanghvi Forging and Engineering Limited","2018-06-12","33.05"
"SANGHIIND","Sanghi Industries Limited","2018-06-12","94.85"
"PITTIENG","Pitti Engineering Limited","2018-06-12","94.3"
"SOMICONVEY","Somi Conveyor Beltings Limited","2018-06-12","50.55"
"KARMAENG","Karma Energy Limited","2018-06-12","30.9"
"SOMANYCERA","Somany Ceramics Limited","2018-06-12","545.05"
"NRBBEARING","NRB Bearing Limited","2018-06-12","189.8"
"BGRENERGY","BGR Energy Systems Limited","2018-06-12","109.65"
"DREDGECORP","Dredging Corporation of India Limited","2018-06-12","587"
"SEPOWER","S.E. Power Limited","2018-06-12","4.4"
"DCMSHRIRAM","DCM Shriram Limited","2018-06-12","304"
"STCINDIA","The State Trading Corporation of India Limited","2018-06-12","154.85"
"INFRABEES","Reliance ETF Infra BeES","2018-06-12","317"
"DIAPOWER","Diamond Power Infra Ltd","2018-06-12","2.95"
"SKFINDIA","SKF India Limited","2018-06-12","1787"
"LAMBODHARA","Lambodhara Textiles Limited","2018-06-12","63.3"
"COMPINFO","Compuage Infocom Limited","2018-06-12","41.05"
"MMTC","MMTC Limited","2018-06-12","38"
"ZUARIGLOB","Zuari Global Limited","2018-06-12","164.8"
"SIL","Standard Industries Limited","2018-06-12","19"
"PANACEABIO","Panacea Biotec Limited","2018-06-12","274.3"
"BLS","BLS International Services Limited","2018-06-12","180.35"
"WIPL","The Western India Plywoods Limited","2018-06-11","69"
"NSIL","Nalwa Sons Investments Limited","2018-06-11","1198"
"ASTRAZEN","AstraZeneca Pharma India Limited","2018-06-11","1325"
"APLLTD","Alembic Pharmaceuticals Limited","2018-06-11","522.3"
"63MOONS","63 moons technologies limited","2018-06-11","87.65"
"TIMKEN","Timken India Limited","2018-06-11","764"
"SHARIABEES","Reliance ETF Shariah BeES","2018-06-11","247.5"
"WALCHANNAG","Walchandnagar Industries Limited","2018-06-11","157.65"
"ALEMBICLTD","Alembic Limited","2018-06-11","45.8"
"BLUECOAST","Blue Coast Hotels Limited","2018-06-11","82.6"
"RIIL","Reliance Industrial Infrastructure Limited","2018-06-11","457"
"INOXWIND","Inox Wind Limited","2018-06-11","90.5"
"IVZINGOLD","Invesco India Gold Exchange Traded Fund","2018-06-11","2820"
"COFFEEDAY","Coffee Day Enterprises Limited","2018-06-11","310"
"PNBHOUSING","PNB Housing Finance Limited","2018-06-11","1103"
"SUMMITSEC","Summit Securities Limited","2018-06-11","860"
"JAICORPLTD","Jai Corp Limited","2018-06-11","149.25"
"ECLERX","eClerx Services Limited","2018-06-11","1285"
"GET&D","GE T&D India Limited","2018-06-11","313"
"ZENITHEXPO","Zenith Exports Limited","2018-06-11","70.35"
"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","2018-06-11","47.5"
"RELDIVOPP","Reliance ETF Dividend Opportunities","2018-06-11","29.58"
"KIRLOSBROS","Kirloskar Brothers Limited","2018-06-11","305.3"
"SALORAINTL","Salora International Limited","2018-06-11","32.3"
"SCAPDVR","Stampede Capital Limited","2018-06-11","2.45"
"KHANDSE","Khandwala Securities Limited","2018-06-08","17.05"
"SHIVAMILLS","Shiva Mills Limited","2018-06-08","55.8"
"ICICISENSX","ICICI Prudential Sensex ETF","2018-06-08","370"
"KOTAKNV20","Kotak Mahindra MF - Kotak NV 20 ETF - DPO","2018-06-08","50.4"
"PARSVNATH","Parsvnath Developers Limited","2018-06-08","12.15"
"USHAMART","Usha Martin Limited","2018-06-08","27.3"
"SPARC","Sun Pharma Advanced Research Company Limited","2018-06-08","414.3"
"ABBOTINDIA","Abbott India Limited","2018-06-08","6375"
"MMFL","MM Forgings Limited","2018-06-08","1210.9"
"BROOKS","Brooks Laboratories Limited","2018-06-08","93.5"
"CREST","Crest Ventures Limited","2018-06-08","177.05"
"ASTRAL","Astral Poly Technik Limited","2018-06-08","1012.5"
"EKC","Everest Kanto Cylinder Limited","2018-06-08","48.85"
"ICICIMCAP","ICICI Prudential Midcap Select ETF","2018-06-08","67.76"
"SEPOWER","S.E. Power Limited","2018-06-08","5.4"
"STAR","Strides Shasun Limited","2018-06-08","357.8"
"ADHUNIKIND","Adhunik Industries Limited","2018-06-08","61.7"
"AGRITECH","Agri-Tech (India) Limited","2018-06-08","126.5"
"QUESS","Quess Corp Limited","2018-06-08","1180"
"SIS","Security and Intelligence Services (India) Limited","2018-06-08","1186"
"SINTEX","Sintex Industries Limited","2018-06-08","17.25"
"MAHINDCIE","Mahindra CIE Automotive Limited","2018-06-08","249.15"
"CINELINE","Cineline India Limited","2018-06-08","66"
"UCOBANK","UCO Bank","2018-06-08","20.7"
"MANALIPETC","Manali Petrochemicals Limited","2018-06-08","48.65"
"ASHIANA","Ashiana Housing Limited","2018-06-07","144.5"
"ESABINDIA","Esab India Limited","2018-06-07","640.1"
"SHARDACROP","Sharda Cropchem Limited","2018-06-07","402"
"SUNCLAYLTD","Sundaram Clayton Limited","2018-06-07","4356.45"
"CNOVAPETRO","CIL Nova Petrochemicals Limited","2018-06-07","26.8"
"FRETAIL","Future Retail Limited","2018-06-07","572.25"
"ICICILOVOL","ICICI Prudential Nifty Low Vol 30 ETF","2018-06-07","85.3"
"NIBL","NRB Industrial Bearings Limited","2018-06-07","18.95"
"CAPTRUST","Capital Trust Limited","2018-06-07","398.95"
"M50","Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF","2018-06-07","103"
"HOVS","HOV Services Limited","2018-06-07","219.65"
"FACT","Fertilizers and Chemicals Travancore Limited","2018-06-07","53.55"
"LUMAXTECH","Lumax Auto Technologies Limited","2018-06-07","167.75"
"KIRLOSBROS","Kirloskar Brothers Limited","2018-06-07","280"
"KILITCH","Kilitch Drugs (India) Limited","2018-06-07","89"
"DCMFINSERV","DCM Financial Services Limited","2018-06-07","2.6"
"KWALITY","kwality limited","2018-06-07","31.7"
"BASF","BASF India Limited","2018-06-07","2012.5"
"SANGAMIND","Sangam (India) Limited","2018-06-07","93.9"
"RELNV20","Reliance ETF NV20","2018-06-07","504.36"
"ACCELYA","Accelya Kale Solutions Limited","2018-06-07","1170"
"PHILIPCARB","Phillips Carbon Black Limited","2018-06-07","242.4"
"INDOCO","Indoco Remedies Limited","2018-06-07","194"
"MADRASFERT","Madras Fertilizers Limited","2018-06-07","32.9"
"LASA","Lasa Supergenerics Limited","2018-06-07","44.9"
"LICNETFSEN","LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX","2018-06-06","357"
"ESSARSHPNG","Essar Shipping Limited","2018-06-06","18.4"
"GANGESSECU","Ganges Securities Limited","2018-06-06","54.9"
"AGARIND","Agarwal Industrial Corporation Limited","2018-06-06","240"
"LASA","Lasa Supergenerics Limited","2018-06-06","46.9"
"JAYAGROGN","Jayant Agro Organics Limited","2018-06-06","240"
"EQ30","Edelweiss Mutual Fund - Edelweiss ETF - Nifty Quality 30","2018-06-06","265"
"KOKUYOCMLN","Kokuyo Camlin Limited","2018-06-06","97.1"
"JSWHL","JSW Holdings Limited","2018-06-06","1855"
"TVSSRICHAK","TVS Srichakra Limited","2018-06-06","3000"
"INDTERRAIN","Indian Terrain Fashions Limited","2018-06-06","164.85"
"MTNL","Mahanagar Telephone Nigam Limited","2018-06-06","17.1"
"SABEVENTS","Sab Events & Governance Now Media Limited","2018-06-06","6.9"
"MASFIN","MAS Financial Services Limited","2018-06-06","597.25"
"RAMASTEEL","Rama Steel Tubes Limited","2018-06-06","170"
"MANUGRAPH","Manugraph India Limited","2018-06-06","33.25"
"GTPL","GTPL Hathway Limited","2018-06-06","122"
"SANGHVIMOV","Sanghvi Movers Limited","2018-06-06","190"
"JMCPROJECT","JMC Projects (India)  Limited","2018-06-06","595.9"
"AXISGOLD","Axis Mutual Fund - Axis Gold ETF","2018-06-06","2710"
"EMAMIINFRA","Emami Infrastructure Limited","2018-06-06","213.3"
"ASTERDM","Aster DM Healthcare Limited","2018-06-06","181"
"BANDHANBNK","Bandhan Bank Limited","2018-06-06","495.75"
"LICNFNHGP","LIC MF - LIC MF ETF - Nifty 100","2018-06-05","110.9"
"UTINEXT50","UTI Mutual Fund - UTI NIfty Next 50 Exchange Traded Fund - UTI NIFTY N","2018-06-05","285"
"BRIGADE","Brigade Enterprises Limited","2018-06-05","231.3"
"TCIDEVELOP","TCI Developers Limited","2018-06-05","489"
"ALOKTEXT","Alok Industries Limited","2018-06-05","2"
"IDFNIFTYET","IDFC Mutual Fund - IDFC Nifty ETF","2018-06-05","106.2"
"SIMBHALS","Simbhaoli Sugars Limited","2018-06-05","10.1"
"LAOPALA","La Opala RG Limited","2018-06-05","237.85"
"ALPHAGEO","Alphageo (India) Limited","2018-06-05","595"
"GREENLAM","Greenlam Industries Limited","2018-06-05","1119.95"
"KEI","KEI Industries Limited","2018-06-05","388"
"ARIHANT","Arihant Foundations & Housing Limited","2018-06-05","34.3"
"HARITASEAT","Harita Seating Systems Limited","2018-06-05","950"
"ICICIMCAP","ICICI Prudential Midcap Select ETF","2018-06-05","66.02"
"TEXMOPIPES","Texmo Pipes and Products Limited","2018-06-05","15.45"
"CREST","Crest Ventures Limited","2018-06-05","175"
"BIOCON","Biocon Limited","2018-06-05","608.85"
"GOKUL","Gokul Refoils and Solvent Limited","2018-06-05","12.9"
"JKLAKSHMI","JK Lakshmi Cement Limited","2018-06-05","330"
"WHIRLPOOL","Whirlpool of India Limited","2018-06-05","1565.95"
"NIFTYEES","Edelweiss ETF - Nifty 50","2018-06-05","12606"
"ARMANFIN","Arman Financial Services Limited","2018-06-05","352.9"
"PODDARMENT","Poddar Pigments Limited","2018-06-05","261.8"
"GEPIL","GE Power India Limited","2018-06-05","840"
"LINDEINDIA","Linde India Limited","2018-06-05","428"
"LICNETFN50","LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50","2018-06-04","110"
"JOCIL","Jocil Limited","2018-06-04","150"
"IITL","Industrial Investment Trust Limited","2018-06-04","98.95"
"LINDEINDIA","Linde India Limited","2018-06-04","426.1"
